bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:1-5000000	55844	55442	55624	55779	55500	55630	55805	55518	55753	55484	54535	54534	54615	54154	54422	54030	54379	54056	54674	54328	55374	54882	55133	55558	55372	54901	54996	55027	55029	55424	56178	55993	56517	56114	56050	56317	56151	55822	56228	55564	56706	57364	57138	57192	56931	56896	56438	56656	56386	57002	55958	55685	56303	56046	55819	56109	56309	56413	56214	55727	217161	217958	218155	217071	217118	217517	217909	217414	217317	217226	110388	110594	110886	111555	111398	110546	111268	110891	111101	110750	111573	111761	111333	111951	111928	110967	110849	111267	111977	111997	56280	55953	54975	56430	56422	55801	56514	56170	55924	56224
chr1:5000001-10000000	72838	72325	73112	72867	73202	73074	73552	72803	72826	73151	215618	214925	215279	214988	215468	214751	216133	215720	214749	215610	218278	218336	219978	219289	218895	218990	218172	217772	218847	219852	220404	221459	221920	221595	221632	222530	221545	220608	220630	221416	223528	223917	224407	223912	224295	224157	223270	225103	224956	223666	73908	74240	74025	73501	73819	73709	73818	73090	73828	74102	71261	71627	71333	71930	71521	71218	71301	71830	71810	71048	366575	365226	364725	364731	365544	365714	368000	365980	364229	366451	442651	442870	442975	442145	443342	443857	443733	441376	444074	442457	73283	74761	73499	73562	73656	74153	73806	73185	73455	73602
chr1:10000001-15000000	66533	65821	65925	66175	66680	66812	66213	66741	66211	66055	130216	129401	128635	129834	128942	130211	129074	129164	130136	129218	132157	131636	132378	132360	133158	132361	131312	131864	132817	132821	133463	133735	133728	133413	133700	133689	133491	133079	134164	133849	135118	135573	135321	134993	133951	134787	135490	135128	135264	135498	66929	66769	66481	66426	66629	67101	67438	66997	66835	66633	64716	65687	65315	65167	64678	64520	65166	64871	65072	64872	263588	264462	264576	263658	262736	263111	264774	264293	264551	264330	265704	267555	266322	266302	267127	266738	266562	267742	265890	266439	67060	67089	66758	66814	66771	66327	66714	66685	66814	67111
chr1:15000001-20000000	70042	69412	68731	69691	69295	69201	69720	69759	69417	69784	68136	68908	68738	68134	68472	68101	67978	68474	68271	68543	69096	70097	69472	68886	69770	68812	69936	69091	69285	68880	211645	211561	211379	210409	210923	211131	211013	211792	210625	210374	142535	142218	142882	142643	141978	142060	142618	141871	141733	142430	70500	70394	70021	70143	70159	69855	70087	70445	70038	69626	168555	169589	170459	170453	171341	170352	169947	169104	170338	169378	277683	276791	276774	278014	279019	277904	276236	277305	278595	278168	281730	281021	281795	282313	281557	282346	280284	280456	280884	281408	139419	140565	139710	139818	140088	139219	140694	140231	139035	140685
chr1:20000001-25000000	73494	72877	72611	72349	72400	72924	72116	72604	72423	72301	71876	71217	71650	71294	71314	71136	70945	70877	71695	71851	72108	72259	71797	72277	72190	72571	72571	72089	72004	71719	73068	73241	73228	73236	73260	73775	73243	74040	72892	73335	74707	74619	73444	74613	75026	73831	74523	75113	74138	74704	73718	73872	73820	73520	73065	72872	73031	73752	73725	73616	179555	178835	179458	179240	179360	179447	180225	178163	178324	178697	73151	72414	72352	72848	72421	72805	73027	72429	72532	72566	72131	72680	72988	72973	72367	73414	73661	72991	73366	73892	147444	147888	147211	147592	148281	147192	148159	148136	147814	147987
chr1:25000001-30000000	73131	72688	72808	72360	72200	72423	72475	72830	72599	72958	70757	70283	71151	70969	71069	70723	70164	70424	71414	70653	252452	252654	253546	254075	253126	252186	252352	254100	252532	253165	254975	254083	255386	255991	256126	255417	256613	255471	255827	256017	73229	74459	74097	74361	74240	73511	73812	74009	73858	74474	73097	72419	72583	72443	73423	72691	73128	72501	73167	72662	71255	70967	70788	71320	70359	70255	70874	70388	70773	70444	180011	180257	180260	179642	181825	180190	181494	181144	179772	181442	326876	328274	328403	326833	328422	328435	326917	327644	327043	327609	254347	255432	254941	255921	255781	254582	255132	255544	255395	255567
chr1:30000001-35000000	71587	71876	71134	71425	71159	71141	71221	71140	71682	71961	70165	69497	70091	69722	69200	69603	69884	69334	70085	69827	69986	70937	70881	71142	71276	70321	70823	71232	71699	71369	72738	71687	71996	72884	71826	72335	72327	71795	71819	72247	36866	36919	36417	36667	36477	36543	36539	37375	36153	36728	72594	71552	71493	71596	71898	71636	71499	71466	71475	71765	349604	349820	349658	349563	349976	349340	349774	349413	350126	349869	71322	71302	70985	71255	71076	71312	71230	71267	71469	71435	72311	71792	72092	72210	72554	71501	72102	71569	72094	71933	72178	71991	72240	72562	71585	71826	72071	72016	72230	71587
chr1:35000001-40000000	72949	72529	73306	72093	72614	73430	72658	73348	72733	72815	35675	35609	36009	35309	35991	35772	36022	36193	35405	35476	36355	36253	36478	36485	36469	36424	36375	36176	36274	36226	37067	36987	36646	36529	36582	37076	36134	36958	36835	36497	37814	37772	37386	37577	37820	37560	37739	37122	37522	37241	73227	73309	73454	72681	73250	72938	73536	73171	73392	73969	71727	71116	71397	71143	71716	71145	71817	71476	71558	71179	182859	182371	182839	183250	183905	182794	183030	183577	183218	182003	182424	180645	181729	180905	181903	181532	181919	181316	182659	181802	73186	73210	72822	73198	73385	73223	72869	73642	73077	72915
chr1:40000001-45000000	72637	72268	72263	73117	72724	72928	73200	72883	72486	72787	212230	214574	214379	214239	213860	213666	214332	214688	215222	215328	218847	217574	218719	218018	218376	217560	218836	218427	218890	218104	294258	295314	294705	295820	294584	293529	294577	294690	294621	294602	225160	223990	224139	224941	224878	223783	224469	223632	224184	223980	73513	73280	73895	73578	74067	74200	73227	73233	73169	73901	71781	71321	71543	70715	71421	71223	72260	71293	70912	71072	73221	72462	73110	73526	72876	72624	73317	73054	72475	72143	73792	72681	73337	73573	73243	73847	73648	72565	73426	74406	74017	74045	73764	73903	73816	73734	73021	73364	73114	73177
chr1:45000001-50000000	71407	71236	71707	71098	71011	71585	71801	71896	71446	71392	69908	70622	70222	70145	70266	70657	70372	70121	70021	70480	284821	283892	285092	285818	284568	285901	284706	285333	285152	285817	286958	288575	289261	288256	288205	289413	287790	288927	289351	288067	109103	109074	110296	110400	109425	109639	109913	109209	110352	109537	71848	72220	72054	72710	72304	71645	71658	72199	72574	72495	280160	281272	280953	281297	279711	281115	279817	280252	280882	280483	71471	71462	71615	72212	71580	71404	71395	70810	71813	70797	179913	181865	180662	180454	181224	180661	179863	180067	182207	180513	72442	72505	72181	72760	71754	72257	72629	72037	72137	72130
