Index,clone1_cell1,clone1_cell10,clone1_cell2,clone1_cell3,clone1_cell4,clone1_cell5,clone1_cell6,clone1_cell7,clone1_cell8,clone1_cell9,clone2_cell1,clone2_cell10,clone2_cell2,clone2_cell3,clone2_cell4,clone2_cell5,clone2_cell6,clone2_cell7,clone2_cell8,clone2_cell9,clone3_cell1,clone3_cell10,clone3_cell2,clone3_cell3,clone3_cell4,clone3_cell5,clone3_cell6,clone3_cell7,clone3_cell8,clone3_cell9,clone4_cell1,clone4_cell10,clone4_cell2,clone4_cell3,clone4_cell4,clone4_cell5,clone4_cell6,clone4_cell7,clone4_cell8,clone4_cell9,clone5_cell1,clone5_cell10,clone5_cell2,clone5_cell3,clone5_cell4,clone5_cell5,clone5_cell6,clone5_cell7,clone5_cell8,clone5_cell9,clone6_cell1,clone6_cell10,clone6_cell2,clone6_cell3,clone6_cell4,clone6_cell5,clone6_cell6,clone6_cell7,clone6_cell8,clone6_cell9,clone7_cell1,clone7_cell10,clone7_cell2,clone7_cell3,clone7_cell4,clone7_cell5,clone7_cell6,clone7_cell7,clone7_cell8,clone7_cell9,clone8_cell1,clone8_cell10,clone8_cell2,clone8_cell3,clone8_cell4,clone8_cell5,clone8_cell6,clone8_cell7,clone8_cell8,clone8_cell9,clone9_cell1,clone9_cell10,clone9_cell2,clone9_cell3,clone9_cell4,clone9_cell5,clone9_cell6,clone9_cell7,clone9_cell8,clone9_cell9,normal_cell1,normal_cell10,normal_cell2,normal_cell3,normal_cell4,normal_cell5,normal_cell6,normal_cell7,normal_cell8,normal_cell9
chr10:1-5000000,0.5,0.583333333333,0.642857142857,0.363636363636,0.428571428571,0.625,0.333333333333,0.5,0.285714285714,0.571428571429,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.416666666667,0.5,0.647058823529,0.5,0.857142857143,0.272727272727,0.4,0.285714285714,0.875,0.4375,0.3125,0.3,0.8,0.3,0.4,0.333333333333,0.142857142857,0.555555555556,0.545454545455,0.0,0.0833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0909090909091,0.454545454545,0.5,0.428571428571,0.625,0.625,0.615384615385,0.5,0.4,0.5,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471074380165,0.625,0.545454545455,0.384615384615,0.545454545455,0.545454545455,0.6,0.454545454545,0.5,0.6
chr10:100000001-105000000,0.615384615385,0.352941176471,0.555555555556,0.6,0.35,1.0,0.272727272727,0.285714285714,0.375,0.428571428571,0.714285714286,0.7,0.454545454545,0.272727272727,0.714285714286,0.454545454545,0.6,0.4,0.375,0.357142857143,0.7,0.578947368421,0.428571428571,0.2,0.714285714286,0.357142857143,0.529411764706,0.266666666667,0.25,0.5625,0.333333333333,0.454545454545,0.166666666667,0.294117647059,0.4,0.428571428571,0.5,0.333333333333,0.4,0.6,0.473684210526,0.461538461538,0.7,0.5,0.470588235294,0.7,0.416666666667,0.588235294118,0.384615384615,0.636363636364,0.333333333333,0.666666666667,0.166666666667,0.454545454545,0.2,0.25,0.642857142857,0.352941176471,0.25,0.428571428571,0.176470588235,0.2,0.205882352941,0.214285714286,0.142857142857,0.230769230769,0.310344827586,0.324324324324,0.225,0.205128205128,0.384615384615,0.461538461538,0.4,0.636363636364,0.307692307692,0.333333333333,0.416666666667,0.461538461538,0.75,0.428571428571,0.444444444444,0.333333333333,0.4375,0.5625,0.5,0.3125,0.631578947368,0.428571428571,0.5,0.625,0.48031496063,0.352941176471,0.4,0.363636363636,0.357142857143,0.6,0.769230769231,0.166666666667,0.285714285714,0.636363636364
chr10:10000001-15000000,0.4,0.777777777778,0.538461538462,0.6,0.625,0.555555555556,0.363636363636,0.25,0.666666666667,0.583333333333,0.538461538462,0.4,0.363636363636,0.55,0.4,0.416666666667,0.4,0.666666666667,0.588235294118,0.375,0.161290322581,0.0882352941176,0.0645161290323,0.210526315789,0.179487179487,0.131578947368,0.0512820512821,0.0285714285714,0.0857142857143,0.102564102564,0.333333333333,0.461538461538,0.583333333333,0.25,0.625,0.5625,0.285714285714,0.461538461538,0.416666666667,0.272727272727,0.470588235294,0.428571428571,0.166666666667,0.1,0.285714285714,0.461538461538,0.333333333333,0.727272727273,0.2,0.368421052632,0.578947368421,0.368421052632,0.5,0.428571428571,0.214285714286,0.352941176471,0.368421052632,0.277777777778,0.5,0.818181818182,0.827586206897,0.692307692308,0.785714285714,0.928571428571,0.928571428571,0.894736842105,0.85,0.857142857143,0.681818181818,0.888888888889,0.138888888889,0.0909090909091,0.0344827586207,0.1,0.0625,0.0344827586207,0.121212121212,0.0344827586207,0.0,0.027027027027,0.727272727273,0.615384615385,0.428571428571,0.8,0.5,0.416666666667,0.4,0.555555555556,0.25,0.545454545455,0.492647058824,0.583333333333,0.235294117647,0.6875,0.615384615385,0.75,0.533333333333,0.666666666667,0.357142857143,0.333333333333
chr10:105000001-110000000,0.0,0.5625,0.347826086957,0.470588235294,0.8125,0.333333333333,0.428571428571,0.571428571429,0.533333333333,0.5,0.25,0.384615384615,0.636363636364,0.642857142857,0.52380952381,0.411764705882,0.615384615385,0.222222222222,0.714285714286,0.294117647059,0.47619047619,0.555555555556,0.466666666667,0.4,0.4375,0.769230769231,0.666666666667,0.466666666667,0.5,0.5,0.357142857143,0.428571428571,0.285714285714,0.285714285714,0.384615384615,0.428571428571,0.285714285714,0.6875,0.6875,0.571428571429,0.714285714286,0.55,0.4,0.714285714286,0.25,0.25,0.466666666667,0.538461538462,0.416666666667,0.384615384615,0.0,0.666666666667,0.571428571429,0.7,0.555555555556,0.3,0.357142857143,0.375,0.5625,0.363636363636,0.538461538462,0.5,0.583333333333,0.818181818182,0.6,0.5,0.6,0.611111111111,0.307692307692,0.666666666667,0.625,0.533333333333,0.5,0.25,0.666666666667,0.428571428571,0.375,0.416666666667,0.111111111111,0.0909090909091,0.473684210526,0.769230769231,0.6,0.5,0.625,0.2,0.6,0.470588235294,0.555555555556,0.4375,0.496124031008,0.411764705882,0.384615384615,0.5,0.466666666667,0.529411764706,0.666666666667,0.307692307692,0.272727272727,0.304347826087
chr10:110000001-115000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.546296296296,0.5,0.583333333333,0.428571428571,0.444444444444,0.625,0.777777777778,0.333333333333,0.545454545455,0.454545454545
chr10:115000001-120000000,0.4,0.529411764706,0.611111111111,0.357142857143,0.416666666667,0.6,0.3125,0.333333333333,0.416666666667,0.714285714286,0.5,0.333333333333,0.625,0.625,0.4375,0.333333333333,0.526315789474,0.615384615385,0.428571428571,0.466666666667,0.4,0.555555555556,0.375,0.411764705882,0.444444444444,0.545454545455,0.5,0.75,0.5,0.5,0.5625,0.636363636364,0.6,0.545454545455,0.526315789474,0.375,0.615384615385,0.933333333333,0.588235294118,0.714285714286,0.916666666667,0.971428571429,1.0,0.942857142857,1.0,0.925925925926,1.0,0.947368421053,1.0,1.0,0.307692307692,0.6,0.4,0.4375,0.818181818182,0.5,0.4375,0.333333333333,0.769230769231,0.75,0.8125,0.78125,0.771428571429,0.741935483871,0.735294117647,0.692307692308,0.76,0.709677419355,0.794117647059,0.884615384615,0.529411764706,0.666666666667,0.333333333333,0.416666666667,0.615384615385,0.75,0.722222222222,0.588235294118,0.692307692308,0.625,0.785714285714,0.388888888889,0.5,0.5625,0.714285714286,0.733333333333,0.277777777778,0.555555555556,0.6,0.714285714286,0.553846153846,0.75,0.538461538462,0.333333333333,0.5,0.5625,0.7,0.363636363636,0.466666666667,0.714285714286
chr10:120000001-125000000,0.272727272727,0.5,0.387096774194,0.5,0.4,0.4,0.48,0.346153846154,0.238095238095,0.392857142857,0.526315789474,0.5,0.428571428571,0.25,0.444444444444,0.666666666667,0.666666666667,0.357142857143,0.4,0.470588235294,0.56,0.516129032258,0.551724137931,0.575757575758,0.52,0.761904761905,0.392857142857,0.642857142857,0.444444444444,0.354838709677,0.441176470588,0.55,0.486486486486,0.548387096774,0.375,0.405405405405,0.536585365854,0.518518518519,0.347826086957,0.459459459459,0.5,0.684210526316,0.55,0.5,0.714285714286,0.588235294118,0.6,0.625,0.642857142857,0.5,0.222222222222,0.454545454545,0.75,0.5,0.454545454545,0.5,0.583333333333,0.733333333333,0.625,0.25,0.724137931034,0.566666666667,0.727272727273,0.739130434783,0.522727272727,0.571428571429,0.7,0.391304347826,0.51724137931,0.617647058824,0.464285714286,0.666666666667,0.387096774194,0.391304347826,0.5,0.5,0.457142857143,0.6,0.481481481481,0.387096774194,0.375,0.545454545455,0.625,0.4,0.571428571429,0.545454545455,0.294117647059,0.636363636364,0.727272727273,0.375,0.434782608696,0.421052631579,0.75,0.545454545455,0.578947368421,0.461538461538,0.545454545455,0.461538461538,0.555555555556,0.333333333333
chr10:125000001-130000000,0.475,0.5,0.545454545455,0.537037037037,0.391304347826,0.339622641509,0.509090909091,0.457627118644,0.484848484848,0.625,0.461538461538,0.272727272727,0.357142857143,0.571428571429,0.5,0.181818181818,0.357142857143,0.666666666667,0.166666666667,0.357142857143,0.47619047619,0.555555555556,0.511627906977,0.5,0.595238095238,0.428571428571,0.435897435897,0.477272727273,0.490196078431,0.431818181818,0.372093023256,0.578947368421,0.375,0.530612244898,0.38,0.555555555556,0.621621621622,0.512820512821,0.625,0.479166666667,0.75,0.538461538462,0.428571428571,0.538461538462,0.714285714286,0.6,0.444444444444,0.461538461538,0.615384615385,0.454545454545,0.545454545455,0.75,0.5,0.611111111111,0.5,0.4,0.285714285714,0.727272727273,0.615384615385,0.625,0.318181818182,0.25,0.384615384615,0.307692307692,0.235294117647,0.277777777778,0.352941176471,0.473684210526,0.3,0.333333333333,0.488888888889,0.509090909091,0.488372093023,0.636363636364,0.509803921569,0.591836734694,0.386363636364,0.37037037037,0.351351351351,0.509433962264,0.6,0.416666666667,0.5625,0.571428571429,0.444444444444,0.272727272727,0.571428571429,0.333333333333,0.857142857143,0.6,0.446280991736,0.866666666667,0.5,0.666666666667,0.444444444444,0.7,0.444444444444,0.545454545455,0.666666666667,0.533333333333
chr10:130000001-133797422,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.235294117647,0.5,0.416666666667,0.571428571429,0.428571428571,0.333333333333,0.75,0.615384615385,0.583333333333,0.444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.166666666667,0.714285714286,0.666666666667,0.636363636364,0.5,0.75,0.545454545455,0.416666666667,0.625,0.384615384615,0.5,0.583333333333,0.666666666667,0.769230769231,0.666666666667,0.5,0.75,0.7,0.333333333333,0.4,0.5,0.636363636364,0.4,0.5,0.533333333333,0.625,0.75,0.307692307692,0.333333333333,0.444444444444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.333333333333,0.4,0.631578947368,0.4,0.384615384615,0.642857142857,0.625,0.583333333333,0.5,0.142857142857,0.622950819672,0.363636363636,0.727272727273,0.375,0.571428571429,0.6,0.555555555556,0.375,0.625,0.714285714286
chr10:15000001-20000000,0.391304347826,0.463414634146,0.404255319149,0.396551724138,0.387755102041,0.490566037736,0.417910447761,0.291666666667,0.403846153846,0.454545454545,0.0,0.0,0.0,0.125,0.111111111111,0.0909090909091,0.0,0.0,0.0,0.0,0.408163265306,0.410256410256,0.418604651163,0.5,0.365384615385,0.288888888889,0.355555555556,0.422222222222,0.472727272727,0.3,0.380952380952,0.4,0.384615384615,0.588235294118,0.275,0.377777777778,0.489795918367,0.459459459459,0.355555555556,0.320754716981,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.166666666667,0.1,0.0,0.0,0.1,0.0,0.0,0.125,0.0,0.0,0.111111111111,0.363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.408163265306,0.564102564103,0.35,0.421052631579,0.48,0.446808510638,0.519230769231,0.433962264151,0.381818181818,0.368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.446808510638,0.65,0.266666666667,0.25,0.5,0.416666666667,0.380952380952,0.352941176471,0.583333333333,0.5625
