Index,clone1_cell1,clone1_cell10,clone1_cell2,clone1_cell3,clone1_cell4,clone1_cell5,clone1_cell6,clone1_cell7,clone1_cell8,clone1_cell9,clone2_cell1,clone2_cell10,clone2_cell2,clone2_cell3,clone2_cell4,clone2_cell5,clone2_cell6,clone2_cell7,clone2_cell8,clone2_cell9,clone3_cell1,clone3_cell10,clone3_cell2,clone3_cell3,clone3_cell4,clone3_cell5,clone3_cell6,clone3_cell7,clone3_cell8,clone3_cell9,clone4_cell1,clone4_cell10,clone4_cell2,clone4_cell3,clone4_cell4,clone4_cell5,clone4_cell6,clone4_cell7,clone4_cell8,clone4_cell9,clone5_cell1,clone5_cell10,clone5_cell2,clone5_cell3,clone5_cell4,clone5_cell5,clone5_cell6,clone5_cell7,clone5_cell8,clone5_cell9,clone6_cell1,clone6_cell10,clone6_cell2,clone6_cell3,clone6_cell4,clone6_cell5,clone6_cell6,clone6_cell7,clone6_cell8,clone6_cell9,clone7_cell1,clone7_cell10,clone7_cell2,clone7_cell3,clone7_cell4,clone7_cell5,clone7_cell6,clone7_cell7,clone7_cell8,clone7_cell9,clone8_cell1,clone8_cell10,clone8_cell2,clone8_cell3,clone8_cell4,clone8_cell5,clone8_cell6,clone8_cell7,clone8_cell8,clone8_cell9,clone9_cell1,clone9_cell10,clone9_cell2,clone9_cell3,clone9_cell4,clone9_cell5,clone9_cell6,clone9_cell7,clone9_cell8,clone9_cell9,normal_cell1,normal_cell10,normal_cell2,normal_cell3,normal_cell4,normal_cell5,normal_cell6,normal_cell7,normal_cell8,normal_cell9
chr10:1-5000000,0.502469941281,0.508199793834,0.492148986672,0.506548218701,0.507131825202,0.502070869765,0.496538531609,0.503861003861,0.501232989314,0.501090116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498934691987,0.493924097962,0.489216589862,0.489504695268,0.505805979702,0.501189387008,0.495801387368,0.492590559824,0.509892334591,0.493477657508,0.50365497076,0.496705336427,0.503932636254,0.506085842409,0.49834193073,0.51294528094,0.506656872647,0.498900293255,0.500731395136,0.500732198426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499679868289,0.492814645309,0.503574046921,0.497601033401,0.498719590269,0.491813602015,0.502998909487,0.502697759488,0.494691951729,0.502759431828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50803339018,0.516486561374,0.510779281381,0.509333333333,0.510730007337,0.50882243685,0.516936671576,0.504455169853,0.509254118083,0.512023406784
chr10:100000001-105000000,0.497982967279,0.499647204092,0.504615384615,0.498383573613,0.503369989358,0.493542600897,0.486625788679,0.500886524823,0.493724966622,0.48990990991,0.492315892334,0.495655258024,0.496535181237,0.502015775635,0.499736101337,0.496625713791,0.499688362568,0.505108225108,0.494286703601,0.496090279012,0.501994450225,0.500347222222,0.499820659971,0.497326203209,0.494560449202,0.494289793005,0.50563692854,0.509175930828,0.4900774228,0.494360067502,0.500131061599,0.494042404065,0.495123915183,0.496548672566,0.492161352827,0.498969256969,0.492676547515,0.499161740051,0.498065328894,0.491223380558,0.50418834318,0.507151796889,0.497619887165,0.500830782685,0.503050128194,0.504030844725,0.500134180159,0.497718497718,0.496681802305,0.504413731609,0.494137353434,0.499216573816,0.492398277529,0.506806930693,0.491642958748,0.502765826675,0.488345298236,0.502753597442,0.499555476529,0.502483227324,0.165711141997,0.165267838737,0.162696445753,0.165922553912,0.164851018726,0.165535478184,0.165196704189,0.169930253597,0.165341996867,0.164998080387,0.505827084651,0.496082621083,0.501527403414,0.500044718719,0.501422981145,0.497924944812,0.502075055188,0.505104305371,0.510634526764,0.5025257081,0.497712475805,0.490741545684,0.489763916717,0.498442097975,0.501076936332,0.497816593886,0.491797587015,0.493098901099,0.496982238317,0.483042678118,0.505044408037,0.502773801002,0.508075967341,0.509908468853,0.506699037856,0.512939496698,0.513430958584,0.505440070765,0.507850568489,0.510924068768
chr10:10000001-15000000,0.503259688519,0.498178263574,0.514770982022,0.507303170645,0.501145374449,0.492842535787,0.493978037549,0.502166456039,0.504916860361,0.504595422599,0.493063741046,0.491509866911,0.489260143198,0.49968533669,0.496252970207,0.494645126157,0.49425807035,0.493130743335,0.49625349824,0.48776523702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502613083438,0.506920891007,0.496579042132,0.50027252907,0.496736174071,0.493725738016,0.49742431089,0.495334722348,0.503559212351,0.498990455213,0.489446870451,0.498509619727,0.498281476122,0.495403749099,0.494858611825,0.498890368398,0.495952509444,0.489487576226,0.497229036068,0.495145631068,0.499545619775,0.495266743342,0.498591549296,0.49991015274,0.488860827997,0.502422393684,0.498851184164,0.497318291104,0.503236245955,0.488475571772,1.0,1.0,1.0,0.999878603945,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494150467963,0.492637094588,0.488617886179,0.497828054299,0.490114275349,0.497697101057,0.496318247126,0.504014989293,0.493753346422,0.490020771245,0.514468047906,0.509165526676,0.512469979679,0.508237007372,0.517366793963,0.505736659989,0.508786158421,0.501346015793,0.507218741487,0.50402792696
chr10:105000001-110000000,0.4918200409,0.499298614764,0.486797562627,0.495265716967,0.493407534247,0.492314261315,0.493137839911,0.494770233196,0.491167000261,0.491522550017,0.49885989359,0.494910941476,0.496892265193,0.488745148771,0.497601918465,0.494841845,0.5,0.49550466497,0.492749870533,0.503378089455,0.492960194681,0.491284086987,0.488727583262,0.49292473305,0.493437419576,0.502659799037,0.490515140968,0.497699386503,0.493433395872,0.487122252747,0.49347639485,0.491518271584,0.489976568602,0.481151299032,0.491146238231,0.496221878757,0.493879273955,0.501847187238,0.490011051602,0.487644014026,0.494884586117,0.496396778296,0.486521291209,0.478518769596,0.496705524582,0.500085295121,0.490835715487,0.496948336629,0.493878592076,0.492350369872,0.499099253667,0.494674051981,0.488808481993,0.488649940263,0.496708860759,0.491592399529,0.497123519459,0.499350030332,0.493001950971,0.497613265221,0.504793699709,0.493593073593,0.500254582485,0.499358919566,0.497928819004,0.498578199052,0.488717992056,0.491908553815,0.497576736672,0.501604927561,0.493115461181,0.484328294474,0.491382969692,0.49363823934,0.488577494692,0.490048912127,0.489541874841,0.488547037444,0.485779390666,0.491420440278,0.49354363463,0.484741683143,0.489944998281,0.495365689248,0.497191253997,0.494351711347,0.493440541684,0.494165398275,0.493709065839,0.49233218805,0.498384022541,0.505722023238,0.492685430747,0.488469066462,0.48548230518,0.491421143847,0.500557892026,0.494626451725,0.492966203465,0.492591316334
chr10:110000001-115000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.508068033144,0.509106830123,0.515330396476,0.501477490005,0.508921508306,0.503884866678,0.509213599792,0.501572327044,0.509817986192,0.512422360248
chr10:115000001-120000000,0.492975170098,0.492941386705,0.490523668373,0.493981275078,0.494665373424,0.499165861796,0.49416168999,0.500885582713,0.499509672818,0.497872340426,0.498897415542,0.500220711574,0.494648916732,0.496886238049,0.505438596491,0.502884530043,0.499025859015,0.499433945833,0.504296978825,0.498982570999,0.499118942731,0.501999111506,0.495410414828,0.501257861635,0.503058781807,0.50168979011,0.491876597298,0.49567977429,0.501677259887,0.504219596695,0.500660967657,0.499465335947,0.504008365284,0.506685683723,0.495356037152,0.499152315517,0.502364171648,0.506396775324,0.511132882081,0.510205916734,1.0,0.99996439634,0.999964311206,0.999964587981,1.0,1.0,1.0,1.0,0.99996466556,1.0,0.499558147755,0.493082653423,0.503589375449,0.494642543474,0.49898651626,0.496866448936,0.500132123668,0.503988079586,0.491073022675,0.506627783669,0.795949224656,0.798455379601,0.79847841472,0.798782633171,0.796840596931,0.799914493373,0.799353680431,0.799611238735,0.801565000889,0.798361711261,0.507682574114,0.510601822611,0.499229164777,0.502587946311,0.500895896793,0.511594846735,0.503739982191,0.496517412935,0.497887323944,0.503940533763,0.491704374057,0.496231155779,0.49960201645,0.496371681416,0.491068301226,0.493264520644,0.491856677524,0.494657836645,0.497987751531,0.491383904779,0.505843071786,0.508101851852,0.503983342386,0.506754322767,0.503927168868,0.506475984889,0.517607503097,0.508770351714,0.510949560223,0.504782146652
chr10:120000001-125000000,0.514891994036,0.521970429736,0.515315934066,0.513919744515,0.512386958179,0.511855241265,0.51533022935,0.512300462995,0.521845167584,0.51652113168,0.499528180492,0.502366405645,0.499265531841,0.504934351669,0.504452548554,0.504440803656,0.507979626486,0.502497416466,0.502493551161,0.498337170632,0.517388339584,0.512600737604,0.513661202186,0.513467147024,0.517968425426,0.517114745011,0.514438392765,0.516034885318,0.511066949907,0.517061725839,0.514319849804,0.50760197127,0.51272915946,0.516693768813,0.513870632999,0.513909527594,0.51309728429,0.515607810781,0.512137441747,0.512351200716,0.484608720762,0.499572284003,0.488768306202,0.487860130112,0.493692859623,0.485406091371,0.49054123564,0.494303141904,0.487161930846,0.493247922438,0.50698757764,0.50030253263,0.507579763793,0.510835913313,0.501675401667,0.512003569835,0.50458239668,0.501537920731,0.510188087774,0.500521557719,0.474299550329,0.472158605367,0.478786607954,0.478222008319,0.468941532952,0.476213592233,0.476321088813,0.472887592863,0.476930089054,0.476919355953,0.519120030344,0.516310421906,0.516014846381,0.51444068265,0.513555463576,0.511681508643,0.51559359623,0.514600684245,0.510943629981,0.516663788638,0.497852971487,0.499827348066,0.499647452847,0.505779581752,0.512682884599,0.5,0.501388406803,0.504882896897,0.497301532033,0.501340946449,0.503296703297,0.503070137508,0.511081677704,0.503026111015,0.517623796424,0.509702797203,0.522251308901,0.506456997277,0.510551098709,0.514478347307
chr10:125000001-130000000,0.504229655471,0.501484424957,0.501071098383,0.49993206214,0.501705863622,0.497992514461,0.49588695319,0.500762385927,0.496904617186,0.500723687186,0.49599856128,0.495511018409,0.506984387839,0.50126880551,0.505235602094,0.495210291032,0.499955385027,0.498328061455,0.49931787176,0.497510185604,0.49850929698,0.503336726615,0.50101452249,0.49809356378,0.498855108935,0.502073365231,0.500204424658,0.497751500902,0.503505994119,0.49783284544,0.504905539838,0.498183741034,0.499019741941,0.500226101112,0.497746825072,0.500796794609,0.501262827368,0.501975118053,0.503092082909,0.500308536167,0.493936651584,0.49300949991,0.489377025567,0.494057724958,0.504409491772,0.501521661296,0.48994548217,0.505007669404,0.492526626689,0.498918724094,0.496898263027,0.496499730749,0.501533465632,0.492894405469,0.49777495232,0.49247311828,0.496282864914,0.512291760468,0.498472871003,0.502251440922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553374233129,0.553484144617,0.556109024444,0.550316053073,0.552603166987,0.559061029054,0.556592577693,0.555123033481,0.556942558121,0.558513107178,0.498195271612,0.492125984252,0.49362244898,0.501157613535,0.498988412728,0.489268825027,0.493297825122,0.491615578796,0.489686991134,0.492507672865,0.513494567122,0.517235073603,0.508787906384,0.508938148016,0.51336210855,0.511693255983,0.503750564844,0.507748813043,0.513354459031,0.505315249267
chr10:130000001-133797422,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.493018128368,0.487819658223,0.475291780482,0.481532318443,0.486336154776,0.485660613651,0.488531828775,0.498468700233,0.486476426799,0.495416253717,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.494693680656,0.492230515111,0.486339473359,0.499321741275,0.490011167639,0.485094850949,0.499634769905,0.492431640625,0.500675592679,0.490960521461,0.488295134208,0.489019752178,0.483595560434,0.483398917855,0.490423325607,0.480806608358,0.486177079527,0.487463485881,0.495711835334,0.48177399757,0.494791666667,0.486795234001,0.496930255403,0.495768858801,0.493670886076,0.498750312422,0.491736050702,0.491020158827,0.490738453939,0.505710426133,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.491461577097,0.501080691643,0.501055245189,0.491422178021,0.490570719603,0.486870897155,0.484621155289,0.490667317311,0.490927293205,0.496714197148,0.486069946651,0.495151665838,0.487208147044,0.484522040614,0.492401960784,0.492057628371,0.491967628941,0.501599409449,0.494348528133,0.494391716997
chr10:15000001-20000000,0.430737961226,0.429719397706,0.429800243542,0.424581151832,0.427823080099,0.426077468631,0.428005489242,0.430547312466,0.42515857336,0.433842173351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425105101988,0.429669785504,0.429309765615,0.427761817707,0.427050895911,0.427640055661,0.4293389395,0.428110359188,0.427653645699,0.426544645824,0.427358662535,0.428674910747,0.428422343395,0.427193778354,0.426750430113,0.428578827429,0.429168170801,0.429300782667,0.434854901146,0.431518343531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428234134191,0.423530019634,0.424764809263,0.432054759137,0.42406780537,0.431995268342,0.428237007751,0.427190269512,0.431205747335,0.426554327381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508285334515,0.501606241395,0.513991163476,0.50528521961,0.509805693629,0.508437471495,0.514427494946,0.503648303539,0.514003444213,0.515268894694
