bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:1-5000000	13949	13995	13804	14262	13731	13803	13933	14095	13868	13761	13563	13555	13589	13703	13638	13661	13607	13594	13549	13587	13821	13923	13822	13823	13984	13818	13702	13964	13598	13688	14033	14089	13944	14045	13859	13817	13912	13805	14119	14244	14134	14154	14296	14127	14152	14139	14264	14078	14301	14029	13781	13828	14046	13853	13965	13741	14192	13998	14431	14106	54302	54281	54735	54074	54691	54627	54471	54007	54427	53715	27999	27576	27518	27644	27579	27714	27884	27919	27878	27831	27900	27545	27732	28028	27972	28051	27724	28269	27936	28289	14122	13833	14069	14136	13909	14216	14122	14202	13867	14121
chr1:5000001-10000000	18116	18010	18495	17880	18292	18108	18090	18377	18523	18008	54179	53796	53935	53756	54155	53973	53794	53306	53827	54285	55170	54762	55120	54754	54409	54845	54424	54758	54575	54425	55062	55658	55569	55682	55544	55552	55097	55274	55914	55466	55858	55290	56673	56153	56631	55967	56208	56292	56017	56144	18758	18422	18362	18507	18448	18727	18580	18378	18475	18298	17703	17986	17888	17483	17768	17802	17759	17706	17956	18030	91418	91493	91368	91405	91472	90111	90824	91949	91051	92290	110516	111744	110844	111647	110490	110442	110835	110651	110906	110189	18407	18610	18302	18545	18652	18400	18292	18665	18719	18332
chr1:10000001-15000000	16844	16243	16376	16541	16812	16611	16591	16785	16452	16516	32423	32480	31916	32413	31890	32552	32270	32419	32410	32345	32915	32796	33148	32732	33460	32856	33182	33051	33342	32958	33675	33098	33205	33053	33390	33153	33038	33283	33782	33665	34098	33565	34058	33800	33681	33661	33856	34202	33767	34063	16429	16839	16526	16762	16756	16906	16619	16605	16531	16830	16150	16257	16252	16391	16405	16244	16286	16108	16415	16152	65536	66479	65961	65384	65815	65893	66325	66401	65411	66320	66477	66578	67118	66615	67070	66820	66562	66730	65923	66724	16762	16818	16532	16673	16822	16348	16776	16936	16268	16646
chr1:15000001-20000000	17623	16817	17392	17404	17457	17561	17240	17440	17303	17469	16810	17333	17434	16985	17054	16914	16671	17152	17179	16872	17452	17168	17571	17593	17103	17132	17535	17541	17112	17081	52780	52609	52686	52846	53159	52797	53035	52761	52658	53112	35844	35419	35762	35148	35715	35792	35594	35629	35443	35438	17628	17558	17549	17044	17717	17444	17712	17562	17532	17053	42523	42513	42644	42688	43382	42379	42678	42246	42464	42714	69031	69351	69343	68984	69658	69206	69581	69584	69138	69963	70266	70621	70804	70275	70253	70133	70324	70558	70476	70410	34563	35052	34523	35451	35249	34981	35120	34764	34907	35239
chr1:20000001-25000000	18160	18131	18275	18145	17763	18515	18168	18190	18057	18496	18034	18028	17653	17952	17594	17347	17948	17940	17365	17570	17862	18246	18018	18090	18092	18313	17847	17855	18113	17879	18114	18052	18536	18397	18311	18489	18087	18373	18433	18295	18779	18520	18645	19141	18567	18614	18870	18793	18741	19029	18319	18649	18143	18165	18290	18105	18178	18483	18536	18489	45082	45433	44628	44933	44590	44059	45271	44330	44508	44788	17985	18283	18122	18327	18104	18203	18446	17875	17791	18276	18076	18132	18463	18215	18305	18284	18171	18214	18221	17909	36890	37026	36902	37272	36978	37061	37017	36897	36929	36927
chr1:25000001-30000000	18151	18041	17918	18334	18018	18290	17900	18193	17813	18095	17410	17927	17762	17699	17602	18014	17440	17834	17403	17693	63252	62998	62393	62924	62817	63132	63563	63436	63664	63445	63909	63486	64014	64065	63405	63188	63551	64449	63963	64293	18563	18579	18486	18697	18472	18467	18528	18192	18093	18509	18290	17900	18006	18226	18560	18576	18175	18064	18369	17947	18095	18003	17705	17823	17659	17464	17575	17587	17769	17667	45308	44807	45417	45387	45506	45221	45185	45185	45268	44879	82102	81193	82227	82222	81793	81709	81747	81992	82007	81969	63493	63857	64154	64060	63808	63461	63987	63679	63602	64390
chr1:30000001-35000000	17549	17728	17609	18060	17924	17886	18035	17729	18024	17975	17515	17370	17527	17455	17411	17338	17610	17567	17046	17707	17420	18062	17773	17964	17653	17685	17901	17820	17783	17814	18335	17938	17668	18044	18041	17775	17900	18047	18098	18524	9134	9097	9114	9063	8999	9192	9274	9189	9026	9363	18131	18119	17828	17958	18181	18192	17816	17971	17952	18074	87994	87981	87280	87319	88047	87432	87797	87734	86731	86664	17539	17554	17560	18300	17411	17960	17792	17759	17812	17736	17994	17816	17908	18173	18267	18131	18139	18071	17779	18123	17934	18141	17769	17840	17879	17863	17932	17921	17592	17982
chr1:35000001-40000000	18367	17915	18319	18446	18429	18345	18407	18204	18606	18561	8714	9002	8955	8851	8889	9009	8983	9004	9174	8913	8886	9063	9035	9290	9071	8942	9065	9128	9030	9052	9166	9065	9552	9310	9329	9250	8995	8990	8811	9338	9625	9520	9445	9426	9195	9407	9272	9434	9292	9326	18198	18580	18404	18159	18468	18386	18417	18313	18395	18518	18065	17620	17709	17553	17558	17862	18045	17713	17655	17574	46108	45544	46064	45909	45707	45694	45485	45575	45762	45757	45203	45519	45398	45690	44996	45792	45795	45827	45776	44801	18357	18745	18236	17848	18297	18328	17989	18528	18379	18266
chr1:40000001-45000000	18549	18265	18053	18298	18153	17869	18330	18098	18141	17931	52945	53934	53724	53746	53819	53549	53669	54220	54118	53833	54790	54727	54527	54017	54555	54379	53955	55441	54862	54058	73859	73250	73468	73793	73491	73127	73516	73789	73902	73072	55943	55723	56042	56176	56101	56027	56115	55973	56036	56671	18316	18471	18599	18284	18661	18676	18469	18273	18161	18395	18107	17413	17921	17801	17979	17592	17759	17912	17968	17738	18198	18416	18389	18445	18232	17873	18232	17902	18103	18054	18467	18347	18461	18141	18294	18366	18191	18259	18392	18269	18044	18535	18423	18704	18348	18468	18562	18602	18120	18232
chr1:45000001-50000000	18082	17617	18171	18073	17632	17941	17898	17995	17574	17899	17746	17649	18029	17690	17502	17773	17745	17519	17383	17903	70642	71514	71061	71608	71407	71294	71140	70878	71287	72220	72951	72704	71635	72195	72123	72261	71623	71515	72295	72100	27287	27505	27198	27132	27266	27324	28137	27226	27400	27155	17808	18328	18378	18091	17881	18146	18175	18029	17812	18391	69717	70384	70133	70247	69916	70181	70362	69661	70266	70425	17966	17808	17786	17643	17941	17951	17521	17953	17862	18048	44700	44668	45575	45594	45312	44749	45176	45285	45733	44905	18265	18299	18313	18067	17849	18014	18454	18061	18242	17994
